slice,name,structure
1.0,HexCer,42:2;O2
1.0,HexCer,42:1;O2
1.0,HexCer,40:1;O2
1.0,PC,38:6
1.0,PA,34:1
1.0,SM,36:1;O2
1.0,HexCer,40:2;O2
1.0,PG,40:6
1.0,PC,40:6
1.0,HexCer,36:1:O2
1.0,PE,40:6
1.0,PG,36:0
1.0,HexCer,41:1;O2
1.0,PE,42:9
1.0,PE,38:6
1.0,PC,40:7
1.0,PC_PC_PE_PE,34:1_36:4_37:1_39:4
1.0,LPE,22:6
1.0,PA,36:1
1.0,PE,40:7
1.0,PG,37:4
1.0,Cer,42:2;O2
1.0,Cer,40:2;O2
1.0,LPE,22:4
1.0,PA,40:6
1.0,PC,34:2
1.0,PC,40:1
1.0,PS,36:1
1.0,PC_PC_PE_PE,35:1_O-38:7_38:1_O-41:7
1.0,SM,42:1;O2
1.0,PI,36:4
1.0,SM,38:1;O2
1.0,PC,42:1
1.0,SM,34:1;O2
1.0,PE,40:4
1.0,PA,38:3
1.0,PG,36:2
1.0,PC,30:0
1.0,TG,67:2
1.0,TG,72:9
1.0,LPA,18:1
1.0,LPC,O-16:2
1.0,LPC,16:0
1.0,LPC,O-16:0
1.0,LPC,O-18:2
1.0,LPE,18:1
1.0,LPS,16:0
1.0,LPE,18:0
1.0,LPC,O-18:0
1.0,LPE,20:0
1.0,LPC,18:1
1.0,LPG,20:1
1.0,LPC,18:0
1.0,LPE,22:1
1.0,LPC,20:4
1.0,LPC,20:1
1.0,Cer,36:1;O2
1.0,LPC,22:6
1.0,Cer,40:1;O2
1.0,Cer,41:2;O2
1.0,Cer,40:0;O2
1.0,DG,35:0
1.0,Cer,42:1;O2
1.0,PA,32:1
1.0,PA,32:0
1.0,SM,31:1;O2
1.0,PE,O-34:2
1.0,PC_PE,31:0_34:0
1.0,PA_PA,36:1_38:4
1.0,PE,32:2
1.0,HexCer,36:2;O2
1.0,PC,32:1
1.0,PC,32:0
1.0,PA,36:4
1.0,PA,36:2
1.0,PC_PE_PE,31:0_34:0_36:3
1.0,PA,38:5
1.0,PG,32:0
1.0,PE,36:1
1.0,PC,O-34:1
1.0,PE,36:0
1.0,HexCer,36:1;O2
1.0,PS,32:1
1.0,HexCer,38:2;O2
1.0,SM,35:1;O2
1.0,PC_PE,31:1_34:1
1.0,PE_PE,O-36:0_O-38:3
1.0,PC,O-32:0
1.0,PE,O-38:2
1.0,PC,34:1
1.0,PE,O-36:5
1.0,PC,34:0
1.0,PA,38:4
1.0,PE,O-36:3
1.0,SM,36:2;O2
1.0,PE,O-36:2
1.0,PE,O-36:1
1.0,PC_PE,35:1_38:1
1.0,PA,40:4
1.0,PE,O-38:7
1.0,PG,34:1
1.0,PG,35:0
1.0,PE,O-38:6
1.0,PG,34:0
1.0,PC_PE_PE,37:5_38:2_40:5
1.0,HexCer_PG,38:1;O2_36:1
1.0,PC,35:0
1.0,PE,38:7
1.0,PS,34:1
1.0,PS,36:4
1.0,PC_PE,37:1_40:1
1.0,PS,36:3
1.0,PG,37:5
1.0,PE,38:4
1.0,PG,37:2
1.0,PC,O-36:1
1.0,PG,37:1
1.0,SM,42:2;O2
1.0,PE,O-40:7
1.0,PG,36:1
1.0,PS,38:1
1.0,PG,38:5
1.0,PC_PE_PE,39:6_40:3_42:6
1.0,PG,38:4
1.0,PG,39:0
1.0,SM,41:2;O2
1.0,PC,36:3
1.0,PG,38:3
1.0,PC,36:2
1.0,HexCer,40:0;O2
1.0,PS,36:2
1.0,PC,36:1
1.0,PG_PG,38:1_40:4
1.0,SM,42:3;O2
1.0,PS,36:0
1.0,PC,38:5
1.0,PS,38:5
1.0,PG,39:5
1.0,PG,39:4
1.0,PC,38:7
1.0,PG,40:5
1.0,PC,38:4
1.0,PG,40:4
1.0,PC,38:2
1.0,PC,38:1
1.0,PE,42:6
1.0,PS,41:0
1.0,PS,40:2
1.0,PS,40:6
1.0,PI,34:1
1.0,PS,40:5
1.0,PC,40:4
1.0,HexCer,44:2;O2
1.0,PI,34:0
1.0,PS,42:9
1.0,PC,40:2
1.0,PS,41:1
1.0,PI,36:3
1.0,PS,42:6
1.0,PI,36:1
1.0,PI,36:0
1.0,PS,44:9
1.0,PI,38:7
1.0,PI,39:5
1.0,PS,44:10
1.0,PI,38:5
1.0,PI,38:4
1.0,PI,40:8
1.0,PI,40:7
1.0,PI,40:5
1.0,PI,42:8
1.0,Hex2Cer,40:1;O2
1.0,Hex2Cer,40:0;O2
2.0,HexCer,42:2;O2
2.0,HexCer,42:1;O2
2.0,HexCer,40:1;O2
2.0,PC,38:6
2.0,PA,34:1
2.0,SM,36:1;O2
2.0,HexCer,40:2;O2
2.0,PG,40:6
2.0,PC,40:6
2.0,HexCer,36:1:O2
2.0,PE,40:6
2.0,PG,36:0
2.0,HexCer,41:1;O2
2.0,PE,42:9
2.0,PE,38:6
2.0,PC,40:7
2.0,PC_PC_PE_PE,34:1_36:4_37:1_39:4
2.0,LPE,22:6
2.0,PA,36:1
2.0,PE,40:7
2.0,PG,37:4
2.0,Cer,42:2;O2
2.0,Cer,40:2;O2
2.0,LPE,22:4
2.0,PA,40:6
2.0,PC,34:2
2.0,PC,40:1
2.0,PS,36:1
2.0,PC_PC_PE_PE,35:1_O-38:7_38:1_O-41:7
2.0,SM,42:1;O2
2.0,PI,36:4
2.0,SM,38:1;O2
2.0,PC,42:1
